Name,Freq,Gender,Type
KRAMERNEWMAN,1,,
KRAMERT,1,,
KRAMERTURKEY,1,,
LANETTE COMES BY,1,,
LAURA AND JERRY,1,,
LEAVE QUIETLY,1,,
LEFT MAN,1,,
LEFT OPEN,1,,
LIBRARIAN WALKS BY,1,,
LIPPMAN ENTERS,1,,
LIZ,1,,
MACHINE AGAIN,1,,
MAESTRO AND ELAINE,1,,
MAJONGH LADIES,1,,
MAN IN AUDIENCE,1,,
MAN ON RAFT,1,,
MAN ON THE STREET,1,,
MAR,1,,
MARRY,1,,
MM,1,,
MOHEL ENTERS.,1,,
MOHEL SNAPS.,1,,
MOMICKEY,1,,
MONOLOGUE,1,,
MONTAGE,1,,
MOOPS,1,,
MOORS.,1,,
MORTYHELENJERRY,1,,
MR BURNS,1,,
MR TANAKA,1,,
MR. CROSS,1,,
MR. GRAHAM ON TV,1,,
MR. GREEN,1,,
MR. SANGER,1,,
MRS. SWEEDLER,1,,
MS. BAINES,1,,
MS. JORDAN,1,,
MY BOSS HATED IT,1,,
NBC.,1,,
NEAR HIM,1,,
NEMWAN,1,,
NEVER,1,,
NEWMANKRAMER,1,,
NEWS,1,,
NEWSCASTER,1,,
NEWSSTAND OWNER,1,,
NIGHT,1,,
NO,1,,
NO MOOPS.,1,,
NO RESPONSE.,1,,
NOW,1,,
NOW THEY SPOT HER.,1,,
OF FIGHT.,1,,
OF REVELATION.,1,,
OFF STAGE,1,,
OK,1,,
ONE DESIGN FLAW,1,,
OTHER WAY.,1,,
OUT OF YOUR NOSE.,1,,
OUTSIDE THE THEATRE,1,,
OUTSIDE THEATRE,1,,
PARTY GUEST,1,,
PASS IN HALLWAY.,1,,
PASSERBY,1,,
PAT HAZELL,1,,
PATIENT,1,,
PAUSE.,1,,
PEOPLE AT TABLE,1,,
PERRY,1,,
PETE,1,,
PETER,1,,
PETERMEN,1,,
PHONE RINGS,1,,
PHONE TAPE,1,,
PIE PIE PIE PIE,1,,
POLICE RADIO,1,,
POSTAL WORKER DANNY,1,,
POSTMAN,1,,
PRO,1,,
PROSECUTOR,1,,
PULLS HIM AWAY.,1,,
RADIO ANNOUNCER,1,,
REFEREE,1,,
RENTAL CAR AGENT,1,,
REPORTER,1,,
REPORTERS,1,,
RESTAURANT MANAGER,1,,
RICHIE,1,,
RICKEY,1,,
RIGHT GUY,1,,
RIGHT MAN,1,,
ROCK,1,,
RUNS AWAY.,1,,
RUSTY,1,,
RUTHIE,1,,
SAILOR,1,,
SAME,1,,
SCENE,1,,
SCENE B,1,,
SCENE C,1,,
SCENE D,1,,
SCENE E,1,,
SCENE G,1,,
SCENE H,1,,
SCENE J,1,,
SCENE K,1,,
SCENE L,1,,
SCENE N,1,,
SCENE TWO,1,,
SCHEDULE,1,,
SCREAMING,1,,
SEE,1,,
SHE GLARES,1,,
SHE LEAVES.,1,,
SLIPPERT PETE,1,,
SOME,1,,
SOME BACK ALLEY,1,,
SOME GUY,1,,
SPIKE,1,,
SPONER,1,,
SQUARE,1,,
STAGE HAND,1,,
STAND UP ROUTINE,1,,
STANDUP ROUTINE,1,,
STEPPING PAST ME,1,,
STOCK BOY,1,,
SUBWAY ANNOUNCEMENT,1,,
SUNNY,1,,
SUPERVISOR,1,,
SUSAN AND ALLSION,1,,
T.C.B.,1,,
TALL GIRL,1,,
TAPE PLAYER,1,,
TAXI DRIVER,1,,
THAT TICKET.,1,,
THE,1,,
THE BABY TIGHTLY.,1,,
THE FLICKS ENTER,1,,
THE FLICKS ENTER.,1,,
THE FREAK,1,,
THE INSTRUMENT.,1,,
THE INTERVENTION,1,,
THE LOCKER ROOM,1,,
THE SAME WAY,1,,
THERAPIST,1,,
THEY LEAVE.,1,,
THEY REACT...,1,,
THEY STOP...,1,,
THINKING,1,,
THUG,1,,
TICKET LADY,1,,
TO BE CONTINUED.,1,,
TOGETHER,1,,
TOUGH GUY,1,,
TUB,1,,
TV ELAINE,1,,
TV NEWSCASTER,1,,
UNSEEN,1,,
VACANT,1,,
VACUUM,1,,
VANDELEY,1,,
VENDER,1,,
VIOLIN PLAYER,1,,
VOGEL,1,,
VOICE ON INTERCOM,1,,
VOICE ON SPEAKER,1,,
VOICE ON THE PHONE,1,,
VOIGHT,1,,
VOLEG,1,,
WELL,1,,
WHERE I AM,1,,
WHISPERS.,1,,
WIFE,1,,
WILLIAMS,1,,
WITNESS,1,,
WOMAN AT BEACH,1,,
WOMAN AT NEXT TABLE,1,,
WOMAN AT PHONE,1,,
WOMAN BEHIND ELAINE,1,,
WOMAN IN THE CROWD,1,,
WORKERS,1,,
YELLING GUY,1,,
YOU OVER THERE,1,,
YOU SOMETHING,1,,
YYY,1,,
